,Gemeentenaam,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
GM1719,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1721,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1723,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1724,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1728,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1729,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1730,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1731,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1734,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1735,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1740,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1742,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1771,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1773,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1774,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1783,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1842,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1859,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1876,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1883,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1884,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1891,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1892,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1894,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1895,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1896,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1900,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1901,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1903,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1904,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1911,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1916,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1924,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1926,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1930,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1931,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1940,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1942,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1945,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1948,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1949,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1950,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1952,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM1954,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
